iter	Passed	Remaining
400	21484	32092
401	21536	32037
402	21589	31982
403	21640	31924
404	21687	31861
405	21743	31812
406	21800	31762
407	21859	31717
408	21915	31668
409	21969	31615
410	22025	31564
411	22079	31512
412	22133	31458
413	22190	31409
414	22251	31367
415	22305	31313
416	22359	31260
417	22411	31204
418	22466	31152
419	22521	31100
420	22578	31052
421	22632	30998
422	22685	30944
423	22738	30890
424	22792	30836
425	22845	30783
426	22900	30730
427	22953	30676
428	23011	30628
429	23070	30581
430	23125	30530
431	23179	30477
432	23233	30423
433	23285	30367
434	23337	30312
435	23390	30257
436	23443	30203
437	23496	30149
438	23554	30101
439	23610	30049
440	23663	29994
441	23719	29944
442	23778	29896
443	23834	29846
444	23893	29799
445	23955	29756
446	24012	29707
447	24064	29650
448	24119	29598
449	24171	29542
450	24223	29487
451	24273	29429
452	24323	29370
453	24374	29314
454	24429	29261
455	24480	29204
456	24530	29146
457	24583	29092
458	24637	29038
459	24688	28982
460	24738	28923
461	24789	28867
462	24841	28811
463	24893	28755
464	24946	28702
465	25002	28651
466	25055	28596
467	25105	28538
468	25155	28480
469	25204	28422
470	25254	28363
471	25305	28307
472	25355	28250
473	25408	28195
474	25458	28138
475	25508	28080
476	25560	28025
477	25615	27973
478	25668	27919
479	25721	27865
480	25775	27812
481	25825	27754
482	25877	27699
483	25930	27644
484	25983	27590
485	26038	27538
486	26092	27485
487	26147	27433
488	26202	27380
489	26254	27325
490	26305	27269
491	26357	27214
492	26410	27160
493	26462	27105
494	26513	27048
495	26562	26990
496	26613	26935
497	26661	26876
498	26712	26819
499	26763	26763
500	26820	26713
501	26872	26658
502	26925	26604
503	26980	26552
504	27033	26498
505	27086	26444
506	27135	26386
507	27191	26335
508	27245	26281
509	27296	26226
510	27348	26171
511	27400	26116
512	27454	26063
513	27510	26011
514	27565	25959
515	27619	25906
516	27673	25853
517	27727	25800
518	27780	25746
519	27831	25690
520	27885	25637
521	27941	25586
522	28003	25540
523	28059	25488
524	28117	25439
525	28175	25389
526	28234	25341
527	28290	25289
528	28346	25238
529	28404	25189
530	28465	25142
531	28521	25090
532	28582	25043
533	28644	24996
